park_name,park_code,State,Latitude,Longitude,Acres,category,common_names,scientific_name,observations,conservation_status
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",Vicia benghalensis,68,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Mammal,American Mink,Neovison vison,77,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Klamath Plum,Prunus subcordata,138,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Velvetleaf,Abutilon theophrasti,84,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Common Bluecup,Githopsis specularioides,85,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Virginia Wildrye,Elymus virginicus var. virginicus,112,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Bird,Field Sparrow,Spizella pusilla,228,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Big Squirreltail, Big Wild Rye",Elymus multisetus,39,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Whorled Loosestrife,Lysimachia quadrifolia,168,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Cumberland Diphyscium Moss,Diphyscium cumberlandianum,250,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Floating Primrosewillow,Ludwigia peploides ssp. glabrescens,103,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Sedge Wren,Cistothorus platensis,114,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Green Bristlegrass,Setaria viridis var. viridis,101,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Davidson's Rockcress,Arabis davidsonii,279,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,Fabronia Moss,Fabronia ciliaris,72,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Annual Honesty, Moneyplant",Lunaria annua,65,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Annual Honesty,Lunaria annua,65,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Swamp White Oak,Quercus bicolor,143,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Deer Muhly, Deergrass",Muhlenbergia rigens,165,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,American Red Raspberry,Rubus idaeus ssp. strigosus,150,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",Polymnia canadensis,80,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Musk Thistle,Carduus nutans,83,
